gene_id,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_001995,43,67,50,48,77,72,53,50,63,91
FUN_002558,32,43,47,36,15,15,34,5,0,6
FUN_003557,278,445,303,298,744,577,442,748,558,834
FUN_004419,257,293,314,351,314,254,320,221,234,393
FUN_004906,446,578,550,523,940,907,781,907,882,1218
FUN_005167,10,18,6,14,63,25,43,38,45,58
FUN_005512,408,642,312,500,735,705,833,858,791,972
FUN_005804,17,15,0,17,35,9,25,17,22,42
FUN_008645,11,15,22,6,25,13,24,30,33,21
FUN_009466,26,69,58,61,89,42,51,54,48,94
FUN_009781,15,15,22,38,49,26,21,24,25,40
FUN_012103,17,21,19,9,45,44,21,28,30,41
FUN_010445,0,0,5,5,9,13,7,9,0,0
FUN_009898,40,51,45,53,80,41,34,54,59,85
FUN_012194,23,46,16,17,64,65,26,44,72,63
FUN_012860,9,17,12,9,5,3,12,5,8,12
FUN_012913,0,34,26,23,30,9,11,16,11,19
FUN_012795,198,237,257,228,279,252,194,306,237,338
FUN_013223,32,59,64,65,60,71,60,89,75,98
FUN_013084,210,263,221,177,330,256,208,291,245,386
FUN_005890,173,258,233,247,463,359,319,450,403,543
FUN_006076,2042,2958,1844,2156,2395,1781,2696,2191,2337,3058
FUN_006771,510,672,591,497,812,739,550,876,743,949
FUN_006869,106,335,218,239,185,148,109,221,244,240
FUN_007146,11,14,27,11,26,34,15,26,20,31
FUN_007352,4,0,5,0,0,0,0,0,0,0
FUN_007573,660,877,361,635,1062,926,850,1131,948,1257
FUN_008023,724,833,811,890,1772,1385,1045,1743,1389,1996
FUN_008250,155,208,151,84,278,240,125,181,277,257
FUN_013349,466,1264,868,871,781,562,594,656,1008,938
FUN_013383,1894,3890,2252,2498,3057,2476,2250,2715,3195,3465
FUN_015344,14,18,0,0,15,8,7,11,10,19
FUN_013542,4905,6408,9408,6862,7156,5826,5208,6591,5029,6230
FUN_015461,105,131,64,87,213,200,153,182,174,323
FUN_015775,25,12,9,10,25,36,30,28,35,30
FUN_015794,131,212,142,147,363,319,234,264,253,407
FUN_015898,289,365,474,381,636,478,340,566,505,659
FUN_015970,178,249,209,214,390,336,265,427,329,489
FUN_016861,0,3,0,7,5,0,4,0,0,0
FUN_016513,151,235,177,189,336,311,193,313,278,408
FUN_016628,182,171,160,182,302,271,241,304,219,355
FUN_016698,169,263,260,262,629,495,346,619,589,644
FUN_017973,58,61,31,49,100,100,67,91,96,133
FUN_018071,97,129,47,102,219,174,138,257,157,277
FUN_018662,147,242,221,195,270,295,174,222,182,333
FUN_018755,156,285,148,193,344,280,235,306,246,338
FUN_019174,179,336,199,225,577,507,277,513,454,747
FUN_019248,689,1191,1082,1058,1726,1413,1137,1646,1547,2073
FUN_018903,4593,6698,4769,4756,6010,4975,5075,6017,5094,7838
FUN_019333,415,499,521,505,604,479,496,616,521,688
FUN_019384,2077,2220,2929,2000,3928,3284,2132,3103,2754,3734
FUN_019401,1616,2638,2642,1948,1712,1355,2025,1509,1398,1888
FUN_020015,12,24,0,4,90,16,8,18,13,33
FUN_019462,1581,2427,1430,1621,3780,3071,2004,3941,2929,4857
FUN_019752,415,656,455,338,703,667,480,883,741,1134
FUN_020590,297,520,443,372,856,834,498,777,917,1151
FUN_020675,340,664,323,432,969,995,714,1116,1357,1499
FUN_020928,2047,2838,2272,2392,4003,3109,2785,3508,3070,4330
FUN_022472,17,32,22,13,67,27,18,31,26,55
FUN_022657,9,4,6,1,9,19,8,4,3,11
FUN_022825,6,11,6,29,8,18,4,10,9,16
FUN_021792,0,0,0,1,0,0,0,0,0,0
FUN_021615,121,149,135,123,200,135,165,196,106,239
FUN_021677,446,658,637,710,1389,1155,834,1325,1136,1371
FUN_022990,38,38,38,19,72,61,41,29,48,71
FUN_023253,99,115,29,205,76,60,164,22,17,106
FUN_023335,98,144,115,277,119,107,143,26,37,132
FUN_023383,1222,1601,1115,1035,2187,1908,1601,2155,1805,2393
FUN_023505,1,1,1,1,1,1,1,1,1,1
FUN_023511,1,1,1,1,1,1,1,1,1,1
FUN_023517,1,1,1,1,1,1,1,1,1,1
FUN_023524,1,1,1,1,1,1,1,1,1,1
FUN_023537,23,24,20,14,33,27,25,46,33,24
FUN_023573,14,16,8,4,21,32,12,17,13,8
FUN_023626,556,865,512,385,995,911,706,915,836,1114
FUN_024428,188,272,306,253,379,335,259,364,259,491
FUN_024070,362,460,230,321,887,640,383,841,718,1108
FUN_024256,7,12,0,3,15,7,2,21,15,23
FUN_024275,4,2,2,2,4,2,6,4,4,14
FUN_023803,5995,6690,5520,4990,8005,6701,9835,7624,8159,10097
FUN_024567,466,754,715,738,1147,939,792,969,904,1266
FUN_024618,1,2,2,3,2,2,1,1,2,3
FUN_024626,69,92,53,129,158,161,115,97,123,138
FUN_025144,22,56,36,37,48,52,26,21,27,80
FUN_025174,24,64,19,12,75,49,26,39,44,118
FUN_024778,32,46,0,22,59,43,38,41,54,90
FUN_024835,45,95,36,66,135,137,121,130,119,212
FUN_024910,306,426,204,310,627,515,468,609,551,779
FUN_025293,65,42,64,45,96,72,47,67,85,85
FUN_025342,791,1463,1701,1662,2146,1890,1319,1864,1552,2130
FUN_025391,18,25,10,192,11,42,16,0,5,28
FUN_025424,342,543,373,397,799,651,511,682,760,1012
FUN_025514,241,343,551,410,448,368,336,500,410,541
FUN_025539,46,62,19,55,72,34,49,70,49,68
FUN_025791,0,0,0,2,0,0,0,2,2,2
FUN_025814,339,331,213,399,382,274,360,254,208,388
FUN_025862,230,310,254,252,512,370,300,535,463,596
FUN_030170,55,83,150,109,194,240,116,216,169,173
FUN_026086,122,186,96,65,531,264,150,399,302,414
FUN_026109,36,27,20,13,102,67,28,87,94,75
FUN_026176,547,646,362,276,2142,1047,737,1590,1249,1711
FUN_026284,12,2,0,2,21,22,10,15,14,17
FUN_026399,212,287,291,186,288,274,257,307,292,419
FUN_026339,2134,2876,2307,2551,7262,5399,2898,12192,4686,8560
FUN_026421,892,1490,1409,1370,2218,1859,1213,1888,1798,2293
FUN_026459,21,59,31,31,28,42,25,36,32,24
FUN_026480,28,49,35,67,50,46,47,45,41,64
FUN_026492,165,209,159,188,466,323,228,427,370,554
FUN_026522,446,628,526,582,774,592,544,773,674,883
FUN_026563,8,13,15,13,28,23,39,18,26,14
FUN_026655,48,131,75,55,101,88,77,88,67,105
FUN_026704,113,175,110,124,283,205,148,267,247,318
FUN_026893,61,101,57,51,83,86,69,82,61,170
FUN_026820,317,388,443,343,721,562,418,438,465,813
FUN_026958,59,85,27,63,93,77,75,94,87,107
FUN_026990,36,67,19,48,114,76,76,63,60,112
FUN_026734,144,179,149,183,524,493,339,539,481,666
FUN_026750,2677,5800,5431,3888,5817,4104,4582,5957,3821,4851
FUN_026760,117,178,175,168,284,160,162,195,204,337
FUN_027277,23,44,40,43,36,31,79,27,44,68
FUN_027293,34,57,37,31,103,114,25,129,121,116
FUN_027390,82,65,78,86,298,185,160,288,209,334
FUN_027149,51,59,15,31,138,55,48,74,49,119
FUN_027200,590,934,538,627,1594,774,600,919,775,1193
FUN_027510,149,200,205,187,221,211,150,211,164,227
FUN_027533,1235,1936,2104,1683,2237,1863,1564,1949,1625,2125
FUN_027598,7,25,34,20,44,31,20,16,29,49
FUN_027620,1,2,0,3,2,0,2,2,1,7
FUN_027751,5,8,0,0,20,0,4,0,0,0
FUN_027567,1309,1778,1922,1740,2917,2246,1904,2887,2247,3037
FUN_027854,292,587,417,270,563,212,213,315,388,446
FUN_027893,32,67,46,45,93,77,45,97,69,96
FUN_027871,820,1338,1318,1001,1376,1349,909,1449,1129,1437
FUN_027924,194,287,262,254,464,277,222,395,302,505
FUN_027962,92,98,37,65,215,135,128,232,135,209
FUN_027965,141,225,144,205,441,385,304,513,412,541
FUN_027968,386,540,574,539,831,757,531,785,620,988
FUN_027988,24,37,78,20,66,105,22,54,78,91
FUN_028034,204,219,260,238,449,389,243,503,354,463
FUN_028052,156,246,201,197,362,296,229,223,244,482
FUN_028113,599,1572,979,760,1160,859,978,829,690,1355
FUN_028167,578,726,521,645,1324,1097,982,1246,1186,1601
FUN_028214,430,501,695,516,1015,696,417,803,598,963
FUN_028313,4,19,13,10,35,32,7,23,23,29
FUN_028294,231,260,322,252,419,324,329,374,353,474
FUN_028231,1478,1644,1306,1117,3252,1858,1420,2873,2378,3231
FUN_028584,1144,1458,1249,1060,3202,2536,2228,3222,2757,3746
FUN_028416,0,0,0,2,0,0,0,0,2,0
FUN_028346,4041,6753,7572,5816,6695,5065,5304,7035,4946,6354
FUN_028351,126,235,167,199,501,349,231,442,299,521
FUN_028379,29,38,8,19,35,45,35,41,47,46
FUN_028409,15,11,2,2,47,48,20,49,37,64
FUN_028423,14,12,8,12,14,20,22,22,15,18
FUN_028477,989,1323,436,790,1940,1549,1293,1879,1765,2556
FUN_028538,795,1091,663,645,1665,1448,942,1445,1326,2023
FUN_030119,12,28,30,20,27,18,28,26,23,33
FUN_030122,10,16,5,5,15,9,5,6,5,5
FUN_030116,102,171,169,153,290,175,128,200,182,273
FUN_030117,6,13,0,0,19,12,0,16,22,0
FUN_030111,15,54,39,48,90,78,35,76,91,99
FUN_030113,584,829,676,714,1930,1461,991,1821,1468,2116
FUN_030123,92,137,90,80,217,121,60,147,139,161
FUN_030130,1224,405,1060,331,15,101,269,0,4,0
FUN_030125,14,35,67,38,85,40,17,48,140,97
FUN_030128,2140,2629,1361,296,6309,2924,197,5200,6219,4719
FUN_030171,1007,372,790,229,38,82,207,15,20,26
FUN_030134,867,1035,778,175,1530,367,162,792,606,610
FUN_030135,1201,1329,886,116,2417,627,73,1376,1108,1188
FUN_030136,55,186,8,12,2664,1743,20,3087,3842,2648
FUN_030137,2311,2567,1338,188,8326,4368,142,7100,9401,7042
FUN_030139,384,410,307,32,1437,884,0,1324,1629,1298
FUN_030141,17,62,72,31,25,13,36,8,22,11
FUN_030140,89,101,59,0,30,26,0,0,0,0
FUN_030144,389,371,244,65,782,335,55,612,638,704
FUN_030146,0,13,6,9,20,28,11,42,35,41
FUN_030148,440,570,535,459,794,584,538,793,740,974
FUN_030149,89,155,113,159,214,175,174,196,173,234
FUN_030150,84,123,101,115,152,146,109,168,128,150
FUN_030158,0,2,2,0,0,0,0,0,0,0
FUN_030154,237,556,484,391,226,198,367,197,169,279
FUN_030160,80,77,14,67,92,87,107,96,71,129
FUN_030161,331,513,196,372,524,476,595,492,439,568
FUN_030162,519,528,558,314,1052,708,556,992,1051,1207
FUN_030163,1053,1168,1695,1277,1999,1521,1117,2058,1468,2065
