gene_id,Name
FUN_030702,
FUN_030703,
FUN_030704,
FUN_030705,
FUN_030706,
FUN_030707,
FUN_030708,
FUN_030709,
FUN_030710,
FUN_006374,
FUN_006646,
FUN_030711,
FUN_008400,
FUN_008860,
FUN_009952,
FUN_010059,
FUN_010175,
FUN_010444,
FUN_010698,
FUN_010721,
FUN_010811,
FUN_010852,
FUN_011019,
FUN_011286,
FUN_011450,
FUN_011581,
FUN_012020,
FUN_012591,
FUN_012672,
FUN_012741,ANKRD50
FUN_013361,
FUN_013503,
FUN_013686,SLC5A7_2
FUN_013999,
FUN_014274,
FUN_014368,
FUN_014432,
FUN_014554,
FUN_014709,
FUN_014883,
FUN_014926,
FUN_015047,
FUN_015121,
FUN_015280,
FUN_015531,
FUN_015726,
FUN_015783,
FUN_015845,
FUN_015890,
FUN_016001,
FUN_016063,
FUN_016204,
FUN_016308,
FUN_016487,
FUN_016768,
FUN_016824,
FUN_016875,
FUN_017097,
FUN_017446,
FUN_017570,
FUN_017696,
FUN_017843,
FUN_017942,TPS1_6
FUN_018122,
FUN_018476,
FUN_018521,
FUN_018547,
FUN_018583,
FUN_018669,
FUN_018751,
FUN_018839,
FUN_018952,
FUN_019048,
FUN_019133,
FUN_019347,
FUN_019442,
FUN_019457,MRPL16
FUN_019567,
FUN_019611,
FUN_019698,
FUN_019956,
FUN_020034,
FUN_020232,
FUN_020295,
FUN_020365,
FUN_020475,
FUN_020510,
FUN_020934,
FUN_021132,
FUN_021384,
FUN_021475,
FUN_021587,
FUN_021663,
FUN_021675,
FUN_021743,FBXO21_5
FUN_022031,
FUN_022108,
FUN_022188,
FUN_022268,
FUN_022404,
FUN_022493,PFKFB1
FUN_022574,RRP6_4
FUN_022653,
FUN_022884,
FUN_022989,
FUN_023057,
FUN_023152,
FUN_023284,
FUN_023515,
FUN_023551,
FUN_023676,MFSD12
FUN_023855,
FUN_023899,
FUN_024053,
FUN_024156,
FUN_024416,
FUN_024441,
FUN_024484,
FUN_024569,
FUN_024594,
FUN_024627,
FUN_024720,
FUN_024751,
FUN_024873,
FUN_025106,
FUN_025135,SKIV2L2
FUN_025221,
FUN_025260,
FUN_025290,
FUN_025360,
FUN_025668,
FUN_025678,
FUN_025714,
FUN_025751,
FUN_025871,
FUN_025884,
FUN_025916,
FUN_025932,
FUN_025955,
FUN_026003,
FUN_026016,
FUN_026044,GGAMMA1
FUN_026087,
FUN_026314,
FUN_026397,
FUN_026454,
FUN_026469,
FUN_026615,
FUN_026707,
FUN_026735,
FUN_026788,STK11
FUN_026814,VPS26
FUN_026907,
FUN_026947,
FUN_026979,
FUN_027106,
FUN_027134,
FUN_027178,
FUN_027222,
FUN_027329,
FUN_027384,RPL37
FUN_027435,
FUN_027469,
FUN_027513,
FUN_027548,
FUN_027573,
FUN_027622,
FUN_027647,
